,City,Country,Latitude,Longitude,Date,Temperature,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed
0,semirom,IR,31.41,51.57,1570503636,44.32,44.32,44.32,61,0,1.97
1,hobyo,SO,5.35,48.53,1570503637,79.78,79.78,79.78,72,0,10.09
2,inirida,CO,3.87,-67.92,1570503638,73.39,73.39,73.39,96,99,1.43
3,pangnirtung,CA,66.15,-65.72,1570503639,28.64,28.64,28.64,90,100,3.49
4,banda aceh,ID,5.56,95.32,1570503641,81.73,81.73,81.73,78,100,11.86
5,brazzaville,CD,-4.27,15.27,1570503642,69.16,69.16,69.16,96,88,0.92
6,praia da vitoria,PT,38.73,-27.07,1570503643,66.2,66.2,66.2,77,75,14.25
7,wajir,KE,1.75,40.07,1570503644,76.96,76.96,76.96,60,18,10.71
8,alberton,ZA,-26.25,28.13,1570503645,59.65,55.0,62.6,21,0,2.84
9,mogadishu,SO,2.04,45.34,1570503539,76.6,76.6,76.6,87,15,7.94
10,galle,GN,10.08,-12.83,1570503648,70.39,70.39,70.39,92,96,1.5
11,luanda,AO,-8.83,13.24,1570503650,75.2,75.2,75.2,83,75,10.29
12,san rafael,AR,-34.61,-68.33,1570503564,55.97,55.97,55.97,40,39,6.4
13,nushki,PK,29.55,66.02,1570503652,74.9,74.9,74.9,22,0,2.42
14,ihosy,MG,-22.4,46.13,1570503654,56.63,56.63,56.63,91,10,9.93
15,elliot lake,CA,46.37,-82.65,1570503655,48.2,48.2,48.2,81,1,3.36
16,torbay,CA,47.66,-52.73,1570503656,54.86,53.01,57.0,93,90,25.28
17,nova odessa,BR,-22.78,-47.29,1570503657,67.68,66.2,69.01,72,40,17.22
18,pergamino,AR,-33.9,-60.57,1570503659,56.26,53.01,57.99,42,13,1.99
19,paro,BT,27.43,89.41,1570503660,44.41,44.41,44.41,63,4,4.65
20,awbari,LY,26.59,12.77,1570503661,69.65,69.65,69.65,24,0,8.61
21,mantova,IT,45.16,10.79,1570503662,52.9,50.0,57.2,93,40,2.24
22,challapata,BO,-18.9,-66.78,1570503663,44.66,44.66,44.66,31,0,10.63
23,chapayevka,RU,53.06,158.83,1570503665,55.4,55.4,55.4,65,48,11.18
24,macia,MZ,-25.03,33.09,1570503666,73.14,73.14,73.14,65,100,8.41
25,batticaloa,LK,7.71,81.69,1570503667,80.79,80.79,80.79,75,65,3.06
26,ajaccio,FR,41.93,8.74,1570503668,55.38,53.6,57.2,66,0,8.05
27,oxford,US,33.61,-85.83,1570503669,65.68,64.0,68.0,88,1,5.82
28,diego de almagro,CL,-26.39,-70.05,1570503671,53.0,53.0,53.0,58,0,2.17
29,jumla,NP,29.28,82.18,1570503672,55.88,55.88,55.88,65,0,1.54
30,mikun,RU,62.35,50.08,1570503673,39.89,39.89,39.89,94,100,9.26
31,storslett,NO,69.77,21.03,1570503676,39.55,39.55,39.55,75,0,21.92
32,kjollefjord,NO,70.95,27.35,1570503677,39.01,39.01,39.01,78,0,15.68
33,gorele,TR,41.03,39.0,1570503678,64.4,64.4,64.4,77,75,3.36
34,effingham,US,39.12,-88.54,1570503679,52.65,48.0,57.2,62,1,5.23
35,pattoki,PK,31.02,73.85,1570503649,78.68,78.68,78.68,31,0,2.91
36,pozzallo,IT,44.81,9.34,1570503682,54.16,46.0,63.0,59,0,6.93
37,kamien pomorski,PL,53.97,14.77,1570503684,42.67,41.0,45.0,80,0,6.93
38,gat,SN,14.69,-16.54,1570503685,77.0,77.0,77.0,88,20,3.36
39,nantucket,US,41.28,-70.1,1570503602,67.28,64.4,69.8,93,90,8.05
40,arkhangelskaya,RU,45.68,40.28,1570503687,49.87,49.87,49.87,68,100,6.24
41,ocean city,US,30.44,-86.61,1570503588,75.2,71.6,79.0,69,1,4.7
